video,views,averageViewDuration,averageViewPercentage,likes,comments,subscribersGained
zio57CR_Z48,1179,13,41.63,5,0,0
4w3hQpbvOAo,952,18,26.619999999999997,20,3,0
lDkySz_KIgY,470,19,31.980000000000004,12,2,0
KByO_BdDjHU,419,13,55.89999999999999,2,0,0
Grt8_cwwL0U,177,99,1.72,2,1,1
OQfIsqxcwqo,128,295,4.98,3,0,0
JqfH98zOHMQ,126,490,6.35,4,1,0
KUrSLN-szIA,121,842,9.17,5,2,0
Wt5QXqdLFzQ,119,208,2.91,2,0,1
3O4LdukdWi4,96,790,8.43,2,0,0
Mvw8NEYHwPs,85,385,4.95,2,0,1
imKVwESKTMg,82,587,5.91,5,1,1
mqiLDPUPzGg,74,1047,15.960000000000003,5,4,1
06fN9wyz8MM,68,346,5.44,2,0,0
8X9l55R1wJM,67,610,10.41,3,0,0
FyAPzSVi2AE,66,1185,18.38,3,1,0
TFCdeBEo6R8,55,596,10.71,4,0,0
xc5kIFO2N_o,53,1445,26.08,3,1,0
P3-wHz7OI4k,42,148,3.19,1,0,0
y0MsVxzf_nM,32,371,4.84,0,0,0
sDwSXBdctF0,30,1276,23.98,4,1,0
zqtUJ3rmJf0,30,2129,41.52,2,0,0
RwxnlHMgZ1s,29,1390,26.530000000000005,1,0,0
n1XC9wd1Qzs,29,710,14.59,1,0,0
P1P8SiMDMB0,27,6,0.08,0,0,0
nToIjitWLOs,27,705,17.67,2,0,0
-0lZ4ZWgAKg,26,610,11.32,2,0,0
BwU6QdViBMg,26,2938,41.03,1,0,0
Wb3GcMZDBP8,25,2191,40.48,3,0,0
kpxRbVpOZhg,25,2622,43.39,2,0,0
5epq4kOQGHs,23,1007,13.01,2,0,0
4LC3u7C_0ds,22,669,7.780000000000001,1,0,1
ap64SQOI8p0,22,614,7.17,0,0,0
b_ll7uSuOLY,22,890,19.57,3,0,0
FKYjgnqbnT8,21,405,6.01,0,0,0
SMlIZvnlF90,21,1108,28.110000000000003,4,1,0
KkHL38gsc7E,20,739,20.74,4,1,0
43Cxfom6V34,19,940,18.9,2,0,0
5VRWA0fQ2ZA,19,37,82.05,1,0,0
FSJ4NLIeurs,19,725,11.15,0,0,0
siDLs-a2-hw,19,1256,21.22,2,0,0
2wv_9C_8LvI,18,32,61.7,2,0,0
FSIDZF-O8jc,18,729,11.11,1,0,0
lOvLKeAsQTw,16,452,6.97,1,0,0
n3r0IPCUQcs,14,331,15.82,0,0,0
yn7oy6HW0BM,14,516,10.37,0,0,0
-uZjbr4GMAw,11,654,12.68,0,0,0
02ZP41Kh820,11,13,67.3,1,0,0
AoC3OAKmdIU,10,121,4.22,0,0,0
3nfoq1KfXys,9,194,6.4399999999999995,0,0,0
